ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADIT_DC
KCOCFPO23N000000047,문화시설,미락원,서울특별시,영등포구,"서울특별시 영등포구 선유로 269 (양평동4가, 약산상가아파트)",서울특별시 영등포구 양평동4가 160-2 약산상가아파트,할인적용최소연령 : 65
KCOCFPO23N000000048,문화시설,샐러디선유도역점,서울특별시,영등포구,서울특별시 영등포구 양평로21길 3 (양평동4가),서울특별시 영등포구 양평동4가 103,할인적용최소연령 : 65
KCOCFPO23N000000049,문화시설,새로나미용실,서울특별시,영등포구,서울특별시 영등포구 디지털로77길 10-1 (대림동),서울특별시 영등포구 대림동 903-34,할인적용최소연령 : 65
KCOCFPO23N000000050,문화시설,씨채널안경원,서울특별시,영등포구,서울특별시 영등포구 양평로 109 (양평동4가),서울특별시 영등포구 양평동4가 73,할인적용최소연령 : 65
KCOCFPO23N000000051,문화시설,라미라헤어클럽,서울특별시,영등포구,서울특별시 영등포구 도림로61길 33 (대림동),서울특별시 영등포구 대림동 749-14,할인적용최소연령 : 65
KCOCFPO23N000000052,문화시설,대림자동차공업사,서울특별시,영등포구,서울특별시 영등포구 대림로 188 (대림동),서울특별시 영등포구 대림동 692-1 로빌딩,할인적용최소연령 : 65
KCOCFPO23N000000053,문화시설,가고파플라워,서울특별시,영등포구,서울특별시 영등포구 대림로 185 (대림동),서울특별시 영등포구 대림동 739-3,할인적용최소연령 : 65
KCOCFPO23N000000054,문화시설,포토키모,서울특별시,영등포구,서울특별시 영등포구 대림로 248 (대림동),서울특별시 영등포구 대림동 651-7,할인적용최소연령 : 65
KCOCFPO23N000000055,문화시설,에덴사진관,서울특별시,영등포구,서울특별시 영등포구 대림로31길 13 (대림동),서울특별시 영등포구 대림동 722,할인적용최소연령 : 65
KCOCFPO23N000000056,문화시설,용명사,서울특별시,영등포구,서울특별시 영등포구 대림로 199 (대림동),서울특별시 영등포구 대림동 740-3 건용빌딩,할인적용최소연령 : 65
KCOCFPO23N000000058,문화시설,태희문구,서울특별시,영등포구,서울특별시 영등포구 도신로4길 13 (대림동),서울특별시 영등포구 대림동 783-15,할인적용최소연령 : 65
KCOCFPO23N000000059,문화시설,아이플라워 메이트,서울특별시,영등포구,서울특별시 영등포구 가마산로46길 9 (대림동),서울특별시 영등포구 대림동 672-6,할인적용최소연령 : 65
KCOCFPO23N000000061,문화시설,신동아 공인중개사사무소,서울특별시,영등포구,서울특별시 영등포구 대림로31길 40 (대림동),서울특별시 영등포구 대림동 777-1 신동아상가,할인적용최소연령 : 65
