ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOEFPO23N000000002,문화시설_교육_시니어,고려대학교평생교육원,서울특별시,성북구,서울특별시 성북구 안암로 145 (안암동5가),서울특별시 성북구 안암동5가 1-2 고려대학교안암캠퍼스
KCOEFPO23N000000003,문화시설_교육_시니어,서울여자대학교평생교육원,서울특별시,노원구,서울특별시 노원구 화랑로 621 (공릉동),서울특별시 노원구 공릉동 126 서울여자대학교
KCOEFPO23N000000005,문화시설_교육_시니어,세종대학교평생교육원,서울특별시,광진구,서울특별시 광진구 능동로 209 (군자동),서울특별시 광진구 군자동 98 세종대학교
KCOEFPO23N000000006,문화시설_교육_시니어,이화여자대학교평생교육원,서울특별시,서대문구,서울특별시 서대문구 성산로 508 (대신동),서울특별시 서대문구 대신동 33 이화삼성교육관
KCOEFPO23N000000017,문화시설_교육_시니어,서울과학기술대학교평생교육원,서울특별시,노원구,서울특별시 노원구 공릉로 232 (공릉동),서울특별시 노원구 공릉동 172 서울과학기술대학교
KCOEFPO23N000000031,문화시설_교육_시니어,디자인아트평생교육원,서울특별시,종로구,서울특별시 종로구 창경궁로 254 (명륜2가),서울특별시 종로구 명륜2가 41-4 동원빌딩
KCOEFPO23N000000042,문화시설_교육_시니어,노원평생교육원,서울특별시,노원구,서울특별시 노원구 동일로217길 48 (상계동),서울특별시 노원구 상계동 735 노원평생교육원
KCOEFPO23N000000049,문화시설_교육_시니어,훔볼트독일문화평생교육원,서울특별시,강남구,서울특별시 강남구 논현로138길 9 (논현동),서울특별시 강남구 논현동 80-31
KCOEFPO23N000000057,문화시설_교육_시니어,신촌평생교육원,서울특별시,서대문구,서울특별시 서대문구 신촌로 57 (창천동),서울특별시 서대문구 창천동 72-36
KCOEFPO23N000000070,문화시설_교육_시니어,끄레아숑보떼평생교육원,서울특별시,관악구,서울특별시 관악구 남부순환로 1752 (봉천동),서울특별시 관악구 봉천동 922-1
KCOEFPO23N000000080,문화시설_교육_시니어,배화여자대학교평생교육원,서울특별시,종로구,서울특별시 종로구 필운대로1길 34 (필운동),"서울특별시 종로구 필운동 12 배화여자대학교,배화여자중,고등학교"
KCOEFPO23N000000085,문화시설_교육_시니어,여기스터디사이버평생교육원,서울특별시,영등포구,서울특별시 영등포구 영등포로 422 (신길동),서울특별시 영등포구 신길동 1300
KCOEFPO23N000000095,문화시설_교육_시니어,한국저작권위원회원격평생교육원,서울특별시,용산구,서울특별시 용산구 후암로 107 (동자동),서울특별시 용산구 동자동 12 게이트웨이타워
KCOEFPO23N000000099,문화시설_교육_시니어,경기대학교평생교육원국제산업학부,서울특별시,서대문구,서울특별시 서대문구 경기대로 43-1 (충정로3가),서울특별시 서대문구 충정로3가 1-7
KCOEFPO23N000000101,문화시설_교육_시니어,파스텔성북평생교육원,서울특별시,성북구,서울특별시 성북구 보문로34길 43 (동선동1가),서울특별시 성북구 동선동1가 49 세학빌딩
KCOEFPO23N000000103,문화시설_교육_시니어,JK글로벌평생교육원,서울특별시,서초구,서울특별시 서초구 동작대로 140 (방배동),서울특별시 서초구 방배동 1929 송언빌딩
KCOEFPO23N000000105,문화시설_교육_시니어,SE사이버평생교육원,서울특별시,강남구,서울특별시 강남구 강남대로94길 71-9 (역삼동),서울특별시 강남구 역삼동 637-46 SE빌딩
KCOEFPO23N000000106,문화시설_교육_시니어,이레평생교육원,서울특별시,관악구,서울특별시 관악구 관천로 25 (신림동),서울특별시 관악구 신림동 1587-29
KCOEFPO23N000000108,문화시설_교육_시니어,일자리경제평생교육원,서울특별시,영등포구,서울특별시 영등포구 가마산로 313 (대림동),서울특별시 영등포구 대림동 778-44
KCOEFPO23N000000116,문화시설_교육_시니어,KC대학교평생교육원,서울특별시,강서구,서울특별시 강서구 까치산로24길 47 (화곡동),서울특별시 강서구 화곡동 953-1 강서대학교
KCOEFPO23N000000119,문화시설_교육_시니어,넥스트평생교육원,서울특별시,성동구,서울특별시 성동구 왕십리로21길 9 (행당동),서울특별시 성동구 행당동 286-34
KCOEFPO23N000000120,문화시설_교육_시니어,매경아카데미평생교육원,서울특별시,중구,서울특별시 중구 동호로 201 (신당동),서울특별시 중구 신당동 358-6 제성빌딩
KCOEFPO23N000000124,문화시설_교육_시니어,더늠국악평생교육원,서울특별시,광진구,서울특별시 광진구 능동로4길 61 (자양동),서울특별시 광진구 자양동 553-45
KCOEFPO23N000000131,문화시설_교육_시니어,바론에듀평생교육원,서울특별시,광진구,서울특별시 광진구 능동로 253 (군자동),서울특별시 광진구 군자동 243 태영빌딩
KCOEFPO23N000000132,문화시설_교육_시니어,행복한평생교육원,서울특별시,강남구,서울특별시 강남구 학동로2길 13 (논현동),서울특별시 강남구 논현동 141-4
KCOEFPO23N000000137,문화시설_교육_시니어,한국HRD평생교육원,서울특별시,성동구,서울특별시 성동구 아차산로 54 (성수동1가),서울특별시 성동구 성수동1가 14-72
KCOEFPO23N000000141,문화시설_교육_시니어,이엘평생교육원,서울특별시,서초구,서울특별시 서초구 서초중앙로8길 111 (서초동),서울특별시 서초구 서초동 1617-38 우명빌딩
KCOEFPO23N000000142,문화시설_교육_시니어,국민대학교평생교육원,서울특별시,성북구,서울특별시 성북구 정릉로 77 (정릉동),서울특별시 성북구 정릉동 861-1 국민대학교
KCOEFPO23N000000144,문화시설_교육_시니어,윌비스원격평생교육원,서울특별시,관악구,서울특별시 관악구 호암로26길 13 (신림동),서울특별시 관악구 신림동 1514-6 세정
KCOEFPO23N000000149,문화시설_교육_시니어,신세계원격평생교육원,서울특별시,중구,서울특별시 중구 퇴계로36나길 18 (필동2가),서울특별시 중구 필동2가 84-123
KCOEFPO23N000000161,문화시설_교육_시니어,국제정보법률평생교육원,서울특별시,구로구,서울특별시 구로구 구로중앙로 228 (신도림동),서울특별시 구로구 신도림동 399 기임빌딩
KCOEFPO23N000000165,문화시설_교육_시니어,배움사이버평생교육원,서울특별시,강남구,서울특별시 강남구 언주로 727 (논현동),서울특별시 강남구 논현동 70-6 트리스빌딩
KCOEFPO23N000000167,문화시설_교육_시니어,총신대학교평생교육원,서울특별시,동작구,서울특별시 동작구 사당로 143 (사당동),서울특별시 동작구 사당동 200-1 대한예수교장로회총회신학원
KCOEFPO23N000000181,문화시설_교육_시니어,베리트원격평생교육원,서울특별시,영등포구,서울특별시 영등포구 당산로 159 (당산동4가),서울특별시 영등포구 당산동4가 39-5
KCOEFPO23N000000183,문화시설_교육_시니어,숭의여자대학교평생교육원,서울특별시,중구,서울특별시 중구 소파로2길 10 (예장동),서울특별시 중구 예장동 8-3 숭의여자대학교
KCOEFPO23N000000185,문화시설_교육_시니어,서일대학교평생교육원,서울특별시,중랑구,서울특별시 중랑구 용마산로90길 28-6 (면목동),서울특별시 중랑구 면목동 49-3 서일대학
KCOEFPO23N000000191,문화시설_교육_시니어,꿈터평생교육원,서울특별시,관악구,서울특별시 관악구 남부순환로210길 24 (봉천동),서울특별시 관악구 봉천동 919-27 꿈꾸는교회
KCOEFPO23N000000192,문화시설_교육_시니어,연합플러스평생교육원,서울특별시,구로구,서울특별시 구로구 경인로 548 (구로동),서울특별시 구로구 구로동 598-13 유림빌딩
KCOEFPO23N000000205,문화시설_교육_시니어,숭실대학교평생교육원,서울특별시,동작구,서울특별시 동작구 상도로 369 (상도동),서울특별시 동작구 상도동 511 숭실대학교
KCOEFPO23N000000213,문화시설_교육_시니어,싸이몬원격평생교육원,서울특별시,송파구,서울특별시 송파구 법원로 114 (문정동),서울특별시 송파구 문정동 643-1 엠스테이트
KCOEFPO23N000000217,문화시설_교육_시니어,자전거평생교육원,서울특별시,동대문구,서울특별시 동대문구 천호대로 38 (신설동),서울특별시 동대문구 신설동 93-3
KCOEFPO23N000000221,문화시설_교육_시니어,한양건축평생교육원,서울특별시,은평구,서울특별시 은평구 서오릉로 110 (대조동),서울특별시 은평구 대조동 172-56 삼두빌딩
KCOEFPO23N000000227,문화시설_교육_시니어,천주교사제평생교육원,서울특별시,종로구,서울특별시 종로구 창경궁로 296-12 (혜화동),서울특별시 종로구 혜화동 90-1 카톨릭대학교
