ESNTL_ID,MLSFC_NM,FCLTY_NM,CTPRVN_NM,SIGNGU_NM,FCLTY_ROAD_NM_ADDR,LNM_ADDR
KCOWRPO23N000000035,자연_공원,효  성,서울특별시,노원구,"서울특별시 노원구 화랑로 556 (공릉동, 효성아파트)",서울특별시 노원구 공릉동 742 효성아파트
KCOWRPO23N000000036,자연_공원,등나무,서울특별시,노원구,서울특별시 노원구 동일로 1238 (중계동),서울특별시 노원구 중계동 508 서울시립 북서울미술관
KCOWRPO23N000000038,자연_공원,매  봉,서울특별시,노원구,서울특별시 노원구 월계로55길 49 (월계동),서울특별시 노원구 월계동 320-6
KCOWRPO23N000000039,자연_공원,벼  루,서울특별시,노원구,서울특별시 노원구 광운로1길 24 (월계동),서울특별시 노원구 월계동 500 광운중/광운인공지능고등학교
KCOWRPO23N000000040,자연_공원,벽  운,서울특별시,노원구,서울특별시 노원구 동일로248가길 17 (상계동),서울특별시 노원구 상계동 1266-1
KCOWRPO23N000000041,자연_공원,비석골,서울특별시,노원구,서울특별시 노원구 월계로45가길 57 (월계동),서울특별시 노원구 월계동 820 아시아퍼시픽 국제학교
KCOWRPO23N000000046,자연_공원,달  빛,서울특별시,노원구,"서울특별시 노원구 노원로 532 (상계동, 상계주공9단지아파트)",서울특별시 노원구 상계동 670 상계주공9단지아파트
KCOWRPO23N000000119,자연_공원,꿈나무,서울특별시,동작구,"서울특별시 동작구 장승배기로4길 9 (상도동, 상도 더샵아파트)",서울특별시 동작구 상도동 521 상도 더샵아파트
KCOWRPO23N000000196,자연_공원,자매근린공원,서울특별시,영등포구,서울특별시 영등포구 의사당대로 지하166 (여의도동),서울특별시 영등포구 여의도동 5-6 샛강역
KCOWRPO23N000000198,자연_공원,신길근린공원,서울특별시,영등포구,서울특별시 영등포구 도림로80길 6 (신길동),서울특별시 영등포구 신길동 341-3 신길5동 복합어르신복지시설
KCOWRPO23N000000199,자연_공원,당산근린공원,서울특별시,영등포구,서울특별시 영등포구 당산로27길 12 (당산동3가),서울특별시 영등포구 당산동3가 385
KCOWRPO23N000000203,자연_공원,자유어린이공원,서울특별시,영등포구,"서울특별시 영등포구 63로 45 (여의도동, 여의도시범아파트)",서울특별시 영등포구 여의도동 50 여의도시범아파트
KCOWRPO23N000000281,자연_공원,상도,서울특별시,동작구,서울특별시 동작구 성대로6사길 27-18 (상도동),서울특별시 동작구 상도동 산75-1
KCOWRPO23N000000306,자연_공원,원지어린이공원,서울특별시,영등포구,서울특별시 영등포구 도림로47길 28 (대림동),서울특별시 영등포구 대림동 690 구립원지경로당
KCOWRPO23N000000309,자연_공원,신우어린이공원,서울특별시,영등포구,서울특별시 영등포구 가마산로47길 13 (대림동),서울특별시 영등포구 대림동 657
KCOWRPO23N000000311,자연_공원,영등포근린공원,서울특별시,영등포구,서울특별시 영등포구 신길로 275 (영등포동),서울특별시 영등포구 영등포동 582-3 영등포문화원
KCOWRPO23N000000562,자연_공원,자양공원,서울특별시,광진구,"서울특별시 광진구 뚝섬로34길 25-19 (자양동, 자양10차현대홈타운)",서울특별시 광진구 자양동 792 자양10차현대홈타운
KCOWRPO23N000000563,자연_공원,가중나무공원,서울특별시,광진구,서울특별시 광진구 동일로28길 16 (화양동),서울특별시 광진구 화양동 32-1 가중나무공원 공중화장실
KCOWRPO23N000000566,자연_공원,화양공원,서울특별시,광진구,서울특별시 광진구 아차산로31길 14 (화양동),서울특별시 광진구 화양동 8-36 화양공원 공중화장실
KCOWRPO23N000000568,자연_공원,군자공원,서울특별시,광진구,서울특별시 광진구 동일로52길 27 (군자동),서울특별시 광진구 군자동 115-1 군자동노인정
KCOWRPO23N000000569,자연_공원,중곡공원,서울특별시,광진구,서울특별시 광진구 긴고랑로5길 10 (중곡동),서울특별시 광진구 중곡동 232-44 중곡1동제1경로당
KCOWRPO23N000000570,자연_공원,배나무터공원,서울특별시,광진구,서울특별시 광진구 동일로76나길 20 (중곡동),서울특별시 광진구 중곡동 695 배나무터공원 공중화장실
KCOWRPO23N000000573,자연_공원,긴고랑공원,서울특별시,광진구,서울특별시 광진구 긴고랑로 143 (중곡동),서울특별시 광진구 중곡동 68-20 긴고랑어린이공원 공중화장실
KCOWRPO23N000000577,자연_공원,장미공원,서울특별시,광진구,서울특별시 광진구 구의강변로3길 39 (구의동),서울특별시 광진구 구의동 590-2 구의새마을경로당
KCOWRPO23N000000578,자연_공원,푸른동산공원,서울특별시,광진구,서울특별시 광진구 광나루로44길 32 (구의동),서울특별시 광진구 구의동 227-13
KCOWRPO23N000000579,자연_공원,구둘공원,서울특별시,광진구,서울특별시 광진구 자양로42길 44 (구의동),서울특별시 광진구 구의동 60-8 구돌어린이공원
KCOWRPO23N000000581,자연_공원,구의공원,서울특별시,광진구,서울특별시 광진구 광나루로56길 86 (구의동),서울특별시 광진구 구의동 546-2 구의공원 공중화장실
KCOWRPO23N000000643,자연_공원,하늘소공원,서울특별시,서대문구,"서울특별시 서대문구 통일로 510 (홍은동, 북한산더샵)",서울특별시 서대문구 홍은동 464 북한산더샵
KCOWRPO23N000000715,자연_공원,해오라기,서울특별시,노원구,서울특별시 노원구 동일로186길 53-26 (공릉동),서울특별시 노원구 공릉동 503-18
KCOWRPO23N000000716,자연_공원,햇  빛,서울특별시,노원구,서울특별시 노원구 상계로37길 36 (상계동),서울특별시 노원구 상계동 1378-7
KCOWRPO23N000000717,자연_공원,햇 살,서울특별시,노원구,서울특별시 노원구 월계로45길 28 (월계동),서울특별시 노원구 월계동 562 월계아파트형공장
KCOWRPO23N000000718,자연_공원,호돌이,서울특별시,양천구,"서울특별시 양천구 목동동로 50 (신정동, 목동신시가지아파트12단지)",서울특별시 양천구 신정동 326 목동신시가지아파트12단지
KCOWRPO23N000000740,자연_공원,월계 롯데캐슬 옆,서울특별시,노원구,"서울특별시 노원구 월계로45길 21 (월계동, 롯데캐슬루나아파트)",서울특별시 노원구 월계동 947 롯데캐슬루나아파트
KCOWRPO23N000000741,자연_공원,불암초,서울특별시,노원구,서울특별시 노원구 중계로 178 (중계동),서울특별시 노원구 중계동 366-2 불암초등학교
KCOWRPO23N000000742,자연_공원,불암소공원,서울특별시,노원구,서울특별시 노원구 한글비석로19길 28 (중계동),서울특별시 노원구 중계동 453 노원수학문화관
KCOWRPO23N000000743,자연_공원,노원골 만남의광장,서울특별시,노원구,서울특별시 노원구 동일로242길 109 (상계동),서울특별시 노원구 상계동 1002
KCOWRPO23N000000744,자연_공원,천상병공원,서울특별시,노원구,서울특별시 노원구 동일로242길 75 (상계동),서울특별시 노원구 상계동 1121-58
KCOWRPO23N000000745,자연_공원,비콘과대망사이,서울특별시,노원구,"서울특별시 노원구 동일로242라길 21-11 (상계동, 비콘드림힐아파트)",서울특별시 노원구 상계동 1308 비콘드림힐아파트
KCOWRPO23N000000746,자연_공원,중계1동 소공원,서울특별시,노원구,"서울특별시 노원구 덕릉로71길 5 (중계동, 성원아파트)",서울특별시 노원구 중계동 580 성원아파트
KCOWRPO23N000000747,자연_공원,소방파출소,서울특별시,노원구,서울특별시 노원구 노원로26길 111 (상계동),서울특별시 노원구 상계동 197-9 상계119안전센터
KCOWRPO23N000000748,자연_공원,순복음교회 뒤,서울특별시,노원구,서울특별시 노원구 상계로10길 41-7 (상계동),서울특별시 노원구 상계동 330-13
KCOWRPO23N000000749,자연_공원,순복음 목재소,서울특별시,노원구,서울특별시 노원구 노원로 444 (상계동),서울특별시 노원구 상계동 330-26
KCOWRPO23N000000750,자연_공원,상계2동 마을숲,서울특별시,노원구,서울특별시 노원구 상계로10길 14 (상계동),서울특별시 노원구 상계동 373-13
KCOWRPO23N000000751,자연_공원,현대 초입,서울특별시,노원구,서울특별시 노원구 덕릉로112길 48 (상계동),서울특별시 노원구 상계동 107-1793
KCOWRPO23N000000752,자연_공원,간촌 인근,서울특별시,노원구,서울특별시 노원구 한글비석로24다길 18-2 (상계동),서울특별시 노원구 상계동 156-65
KCOWRPO23N000000753,자연_공원,상계초,서울특별시,노원구,서울특별시 노원구 상계로9길 39 (상계동),서울특별시 노원구 상계동 402-1 상계초등학교
KCOWRPO23N000000754,자연_공원,계상초 인근,서울특별시,노원구,"서울특별시 노원구 한글비석로 479 (상계동, 보람아파트1단지)",서울특별시 노원구 상계동 685 보람아파트1단지
KCOWRPO23N000000755,자연_공원,석계역문화공원,서울특별시,노원구,서울특별시 노원구 화랑로 331-2 (월계동),서울특별시 노원구 월계동 47-8 가로판매대
KCOWRPO23N000000756,자연_공원,공릉가로공원,서울특별시,노원구,서울특별시 노원구 화랑로 440-2 (공릉동),서울특별시 노원구 공릉동 678-2 가로판매대
