ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOCFPO23N000000001,시니어,문화시설,송죽,27,대구광역시,27200,남구,2720010100,이천동,272004232271,대구광역시 남구 이천로29길 25 (이천동),대구광역시 남구 이천동 434-6,"25 Icheon-ro 29-gil, Nam-gu, Daegu",2720010100,,2720010100104340000000000,534758756,42423,-,128.5973114,35.85333334,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000002,시니어,문화시설,엘르리여쌤뷰티,27,대구광역시,27200,남구,2720010100,이천동,272004232143,대구광역시 남구 명덕로64길 58 (이천동),대구광역시 남구 이천동 279-19,"58 Myeongdeok-ro 64-gil, Nam-gu, Daegu",2720010100,,2720010100102790000000000,534752363,42433,-,128.6054753,35.85244186,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000003,시니어,문화시설,신화,27,대구광역시,27200,남구,2720010200,봉덕동,272004232265,대구광역시 남구 이천로19길 33 (봉덕동),대구광역시 남구 봉덕동 508-36,"33 Icheon-ro 19-gil, Nam-gu, Daegu",2720010200,,2720010200105080000000000,534745567,42428,-,128.5965762,35.84978245,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000004,시니어,문화시설,백합,27,대구광역시,27200,남구,2720010200,봉덕동,272004232162,대구광역시 남구 봉덕로21길 53-89 (봉덕동),대구광역시 남구 봉덕동 746-10,"53-89 Bongdeok-ro 21-gil, Nam-gu, Daegu",2720010200,,2720010200107460000000000,534754048,42438,-,128.5998305,35.84678732,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000005,시니어,문화시설,선경 미용실,27,대구광역시,27200,남구,2720010200,봉덕동,272004232303,대구광역시 남구 중앙대로32길 91 (봉덕동),대구광역시 남구 봉덕동 546-33,"91 Jungang-daero 32-gil, Nam-gu, Daegu",2720010200,,2720010200105460000000000,536265584,42428,-,128.5957529,35.84776189,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000006,시니어,문화시설,진희,27,대구광역시,27200,남구,2720010200,봉덕동,272004232165,대구광역시 남구 봉덕로24길 57 (봉덕동),대구광역시 남구 봉덕동 1020-2,"57 Bongdeok-ro 24-gil, Nam-gu, Daegu",2720010200,,2720010200110200000000000,534711277,42442,-,128.6034597,35.84215315,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000007,시니어,문화시설,정미용실,27,대구광역시,27200,남구,2720010300,대명동,272004232165,대구광역시 남구 봉덕로24길 12 (봉덕동),대구광역시 남구 봉덕동 537-2,"12 Bongdeok-ro 24-gil, Nam-gu, Daegu",2720010200,,2720010200105370000000000,534736981,42442,-,128.602223,35.84402511,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000008,시니어,문화시설,정아미용실,27,대구광역시,27200,남구,,,272004232365,대구광역시 남구 효동길 67 (봉덕동),대구광역시 남구 봉덕동 1283-111,"67 Hyodong-gil, Nam-gu, Daegu",2720010200,,2720010200112830000000000,534724858,42515,,128.6006337,35.83733622,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000009,시니어,문화시설,예가 미용실,27,대구광역시,27200,남구,2720010200,봉덕동,272004232257,대구광역시 남구 용두길 36 (봉덕동),대구광역시 남구 봉덕동 1581-92,"36 Yongdu-gil, Nam-gu, Daegu",2720010200,,2720010200115810000000000,534733371,42503,-,128.604368,35.83349435,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000010,시니어,문화시설,권,27,대구광역시,27200,남구,2720010200,봉덕동,272004232184,대구광역시 남구 삼정2길 15-2 (봉덕동),대구광역시 남구 봉덕동 1366-3,"15-2 Samjeong 2-gil, Nam-gu, Daegu",2720010200,,2720010200113660000000000,534713438,42505,-,128.5953798,35.83933634,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000011,시니어,문화시설,김정원미용실,27,대구광역시,27200,남구,2720010200,봉덕동,272004232296,대구광역시 남구 중앙대로22길 71-1 (봉덕동),대구광역시 남구 봉덕동 717-4,"71-1 Jungang-daero 22-gil, Nam-gu, Daegu",2720010200,,2720010200107170000000000,534767548,42446,-,128.5943436,35.84287468,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000012,시니어,문화시설,석정원헤어컬렉션,27,대구광역시,27200,남구,2720010300,대명동,272004232062,대구광역시 남구 대명로30길 9 (대명동),대구광역시 남구 대명동 906-9,"9 Daemyeong-ro 30-gil, Nam-gu, Daegu",2720010300,,2720010300109060000000000,536537587,42487,-,128.5740675,35.8386172,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000013,시니어,문화시설,수정미용실,27,대구광역시,27200,남구,2720010200,봉덕동,272003141015,대구광역시 남구 이천로 19 (봉덕동),대구광역시 남구 봉덕동 687-1,"19 Icheon-ro, Nam-gu, Daegu",2720010200,,2720010200106870000000000,530000000,42446,-,128.5978316,35.84301057,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000014,시니어,문화시설,쉬즈헤어,27,대구광역시,27200,남구,2720010300,대명동,272003144010,대구광역시 남구 현충로 159 (대명동),대구광역시 남구 대명동 1724-2,"159 Hyeonchung-ro, Nam-gu, Daegu",2720010300,,2720010300117240000000000,7086318520,42456,-,128.579854,35.8469875,공공데이터,할인적용최소연령 : 65,20231231,20231231
KCOCFPO23N000000015,시니어,문화시설,영미용실,27,대구광역시,27200,남구,2720010300,대명동,272004232337,대구광역시 남구 현충로19길 106 (대명동),대구광역시 남구 대명동 1660-12,"106 Hyeonchung-ro 19-gil, Nam-gu, Daegu",2720010300,,2720010300116600000000000,530000000,42466,-,128.5746503,35.84288056,공공데이터,할인적용최소연령 : 65,20231231,20231231
