ESNTL_ID,LCLAS_NM,MLSFC_NM,FCLTY_NM,CTPRVN_CD,CTPRVN_NM,SIGNGU_CD,SIGNGU_NM,LEGALDONG_CD,LEGALDONG_NM,ROAD_NM_CD,FCLTY_ROAD_NM_ADDR,LNM_ADDR,ADDR_ENG_NM,ADSTRD_CD,BULD_NM,BULD_MANAGE_CD,TEL_NO,ZIP_NO,HMPG_URL,FCLTY_LA,FCLTY_LO,ORIGIN_NM,ADIT_DC,UPDT_DT,REGIST_DT
KCOEFPO23N000000001,문화시설,문화시설_교육_시니어,전남대학교용봉동캠퍼스평생교육원,29,광주광역시,29170,북구,2917010700,,291703162053,광주광역시 북구 용봉로 77 (용봉동),광주광역시 북구 용봉동 300 전남대학교,"77 Yongbong-ro, Buk-gu, Gwangju",2917010700,전남대학교,2917010700103000000024363,,61186,,35.17932821,126.9077005,공공데이터,-,20231231,20231231
KCOEFPO23N000000002,문화시설,문화시설_교육_시니어,고려대학교평생교육원,11,서울특별시,11290,성북구,1129013500,,112903005035,서울특별시 성북구 안암로 145 (안암동5가),서울특별시 성북구 안암동5가 1-2 고려대학교안암캠퍼스,"145 Anam-ro, Seongbuk-gu, Seoul",1129012500,고려대학교안암캠퍼스,1129012500100010002039525,,02841,,37.59022786,127.035858,공공데이터,-,20231231,20231231
KCOEFPO23N000000003,문화시설,문화시설_교육_시니어,서울여자대학교평생교육원,11,서울특별시,11350,노원구,1135010300,,113503005046,서울특별시 노원구 화랑로 621 (공릉동),서울특별시 노원구 공릉동 126 서울여자대학교,"621 Hwarang-ro, Nowon-gu, Seoul",1135010300,서울여자대학교,1135010300101260000014437,,01797,,37.62723387,127.0902969,공공데이터,-,20231231,20231231
KCOEFPO23N000000004,문화시설,문화시설_교육_시니어,광주가톨릭평생교육원본관,29,광주광역시,29140,서구,2914011800,,291402009004,광주광역시 서구 상무대로 980 (쌍촌동),광주광역시 서구 쌍촌동 997-1,"980 Sangmu-daero, Seo-gu, Gwangju",2914011800,,2914011800109970001008995,,61995,,35.15037922,126.8683035,공공데이터,-,20231231,20231231
KCOEFPO23N000000005,문화시설,문화시설_교육_시니어,세종대학교평생교육원,11,서울특별시,11215,광진구,1121510900,,112153104007,서울특별시 광진구 능동로 209 (군자동),서울특별시 광진구 군자동 98 세종대학교,"209 Neungdong-ro, Gwangjin-gu, Seoul",1121510900,세종대학교,1121510900100980000018572,,05006,,37.55324377,127.073381,공공데이터,-,20231231,20231231
KCOEFPO23N000000006,문화시설,문화시설_교육_시니어,이화여자대학교평생교육원,11,서울특별시,11410,서대문구,1141011300,,114103005060,서울특별시 서대문구 성산로 508 (대신동),서울특별시 서대문구 대신동 33 이화삼성교육관,"508 Seongsan-ro, Seodaemun-gu, Seoul",1141011300,이화삼성교육관,1141011300100330000024353,,03765,,37.56208212,126.9431599,공공데이터,-,20231231,20231231
KCOEFPO23N000000007,문화시설,문화시설_교육_시니어,청주대학교평생교육원,43,충청북도,43114,청주시 청원구,4311410200,,431144508430,충청북도 청주시 청원구 안덕벌로19번길 116 (내덕동),충청북도 청주시 청원구 내덕동 2 청주대학교 예술대학,"116 Andeokbeol-ro 19beon-gil, Cheongwon-gu, Cheongju-si, Chungcheongbuk-do",4311410200,청주대학교 예술대학,4311111400100020000037283,,28496,,36.65938249,127.4980671,공공데이터,-,20231231,20231231
KCOEFPO23N000000008,문화시설,문화시설_교육_시니어,목포대학교목포캠퍼스평생교육원,46,전라남도,46110,목포시,4611015900,,461104643400,전라남도 목포시 송림로41번길 11 (용해동),전라남도 목포시 용해동 290 목포대학교 목포캠퍼스,"11 Songnim-ro 41beon-gil, Mokpo-si, Jeollanam-do",4611015900,목포대학교 목포캠퍼스,4611015900102900000006791,,58645,,34.80947823,126.4033477,공공데이터,-,20231231,20231231
KCOEFPO23N000000009,문화시설,문화시설_교육_시니어,광양평생교육원,46,전라남도,46230,광양시,4623010800,,462304655305,전라남도 광양시 안산길 23 (광영동),전라남도 광양시 광영동 487-1 전라남도광양평생교육관,"23 Ansan-gil, Gwangyang-si, Jeollanam-do",4623010800,전라남도광양평생교육관,4623010800104870001000004,,57720,,34.96161664,127.7173678,공공데이터,-,20231231,20231231
KCOEFPO23N000000010,문화시설,문화시설_교육_시니어,충남평생교육원,44,충청남도,44131,천안시 동남구,4413125033,신계리,441313249055,충청남도 천안시 동남구 목천읍 충절로 843,충청남도 천안시 동남구 목천읍 신계리 300-2 충남평생교육원,"843 Chungjeol-ro, Mokcheon-eup, Dongnam-gu, Cheonan-si, Chungcheongnam-do",4413125033,충남평생교육원,4413125033103000002039128,,31233,,36.77174293,127.2044919,공공데이터,-,20231231,20231231
KCOEFPO23N000000011,문화시설,문화시설_교육_시니어,함덕평생교육원,44,충청남도,44270,당진시,4427025030,옥금리,442703265122,충청남도 당진시 합덕읍 덕평로 152-10,충청남도 당진시 합덕읍 옥금리 190 합덕평생교육원,"152-10 Deokpyeong-ro, Hapdeok-eup, Dangjin-si, Chungcheongnam-do",4427025030,합덕평생교육원,4483025330101900000002824,,31814,,36.78528993,126.8058345,공공데이터,-,20231231,20231231
KCOEFPO23N000000012,문화시설,문화시설_교육_시니어,공검평생교육원,47,경상북도,47250,상주시,4725045022,동막리,472503311024,경상북도 상주시 공검면 비재로 1087,경상북도 상주시 공검면 동막리 74,"1087 Bijae-ro, Gonggeom-myeon, Sangju-si, Gyeongsangbuk-do",4725045022,,4725045022100620003008226,,37131,,36.50664481,128.1395976,공공데이터,-,20231231,20231231
KCOEFPO23N000000013,문화시설,문화시설_교육_시니어,가천대학교글로벌캠퍼스평생교육원,41,경기도,41131,성남시 수정구,4113110700,,411312000005,경기도 성남시 수정구 성남대로 1342 (복정동),경기도 성남시 수정구 복정동 620-2 가천대학교,"1342 Seongnam-daero, Sujeong-gu, Seongnam-si, Gyeonggi-do",4113110700,가천대학교,4113110700106200000012793,,13120,,37.45269284,127.1301346,공공데이터,-,20231231,20231231
KCOEFPO23N000000014,문화시설,문화시설_교육_시니어,강동대학교평생교육원,43,충청북도,43130,충주시,4313033524,만정리,431304515101,충청북도 충주시 대소원면 용관길 10,충청북도 충주시 대소원면 만정리 45-5 강동대학교평생교육원,"10 Yonggwan-gil, Daesowon-myeon, Chungju-si, Chungcheongbuk-do",4313033524,강동대학교평생교육원,4313033024100450005040722,,27471,,36.95813951,127.8720127,공공데이터,-,20231231,20231231
KCOEFPO23N000000015,문화시설,문화시설_교육_시니어,동아대학교부민캠퍼스평생교육원,26,부산광역시,26140,서구,2614011000,,261403006005,부산광역시 서구 구덕로 225 (부민동2가),부산광역시 서구 부민동2가 1 동아대학교부민캠퍼스,"225 Gudeok-ro, Seo-gu, Busan",2614011000,동아대학교부민캠퍼스,2614011000100010000007864,,49236,,35.10381389,129.0189383,공공데이터,-,20231231,20231231
KCOEFPO23N000000016,문화시설,문화시설_교육_시니어,제주대학교아라캠퍼스평생교육원,50,제주특별자치도,50110,제주시,5011011700,,501103349179,제주특별자치도 제주시 제주대학로 102 (아라일동),제주특별자치도 제주시 아라일동 1 제주대학교,"102 Jejudaehak-ro, Jeju-si, Jeju-do",5011011700,제주대학교,5011011700100010000048555,,63243,,33.4523066,126.560178,공공데이터,-,20231231,20231231
KCOEFPO23N000000017,문화시설,문화시설_교육_시니어,서울과학기술대학교평생교육원,11,서울특별시,11350,노원구,1135010300,,113503005050,서울특별시 노원구 공릉로 232 (공릉동),서울특별시 노원구 공릉동 172 서울과학기술대학교,"232 Gongneung-ro, Nowon-gu, Seoul",1135010300,서울과학기술대학교,1135010300100780001000170,,01811,,37.63071028,127.0785596,공공데이터,-,20231231,20231231
